file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
clients/src/main/java/org/apache/kafka/clients/producer/internals/RecordAccumulator.java,Remove Parameter,1,1,1,e6d242113625f20108b64bf54e796fcbcff6d8a7
clients/src/main/java/org/apache/kafka/clients/producer/internals/RecordAccumulator.java,Remove Parameter,1,1,1,e6d242113625f20108b64bf54e796fcbcff6d8a7
clients/src/test/java/org/apache/kafka/common/security/authenticator/SaslServerAuthenticatorTest.java,Rename Method,29,1,1,875da35ec31effa32f534e08846c4d2af8b787a9
clients/src/test/java/org/apache/kafka/common/security/authenticator/SaslServerAuthenticatorTest.java,Assert Throws,1,1,1,875da35ec31effa32f534e08846c4d2af8b787a9
clients/src/main/java/org/apache/kafka/common/security/authenticator/SaslServerAuthenticator.java,Change Return Type,1,1,1,875da35ec31effa32f534e08846c4d2af8b787a9
clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerHeartbeatRequestManagerTest.java,Rename Method,16,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerHeartbeatRequestManagerTest.java,Modify Method Annotation,1,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerHeartbeatRequestManagerTest.java,Add Parameter,10,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/test/java/org/apache/kafka/clients/consumer/internals/ConsumerHeartbeatRequestManagerTest.java,Add Parameter,16,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/main/java/org/apache/kafka/clients/consumer/internals/ConsumerHeartbeatRequestManager.java,Rename Method,31,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractHeartbeatRequestManager.java,Rename Method,10,1,1,be4d1a62779b55d4d952fcd0254b9ecfded92ad7
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Change Attribute Type,1,1,1,106fd5f601df858ab0affd8967a07df0987e9ee1
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Inline Variable,1,1,1,106fd5f601df858ab0affd8967a07df0987e9ee1
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Rename Variable,1,1,1,106fd5f601df858ab0affd8967a07df0987e9ee1
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Remove Parameter,1,1,1,106fd5f601df858ab0affd8967a07df0987e9ee1
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Class,30,1,1,96527be90d28f7def483edf99fdde0190238ffa2
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Remove Class Annotation,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Remove Class Annotation,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Rename Method,8,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Replace Variable With Attribute,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Extract Method,32,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Extract Method,35,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Extract Variable,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Rename Variable,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Inline Variable,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Return Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Return Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Replace Attribute With Variable,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Replace Attribute With Variable,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Change Return Type,1,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Method,21,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Method,18,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Method,17,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Method,51,1,1,96527be90d28f7def483edf99fdde0190238ffa2
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Extract Class,217,1,1,96527be90d28f7def483edf99fdde0190238ffa2
